"","X","ID","LONG","LAT","ages","race","sex","income","Location","Price","Experience","Other","will_attend","target_dist","predicted_prob","Price_real"
"1",1,361,-78.5653374351109,35.631000704373,40.1431567930033,"Aisian/Other","F","75-100k",1,1,1,1,0,0.408112973282789,0.00650764082279418,15
"2",2,775,-78.6459562304617,35.8106849481676,51.621452561151,"Aisian/Other","M","100-150k",1,1,1,2,0,0.246380792340443,0.00505256171320597,15
"3",3,863,-78.5402952251639,35.8715530307824,48.267359774684,"White","M","<25k",1,1,1,3,0,0.338523754452413,0.0107811323166065,15
"4",4,1439,-78.6205549297256,35.7070245977795,30.3998449406134,"White","F","25-50k",1,1,1,4,0,0.317779577333976,0.182395471447852,15
"5",5,2054,-78.569253069079,35.78145725049,40.9385363062305,"Black","M","100-150k",1,1,2,1,0,0.328447857343128,0.0558662865260571,15
"6",6,2147,-78.6825767547818,35.8440186053652,36.3108599585949,"White","M","50-75k",1,1,2,2,0,0.201628329175824,0.182582225905472,15
"7",7,2559,-78.6552486680334,35.7897648106978,45.0310244825369,"White","M","100-150k",1,1,2,3,1,0.245687846468796,0.202248372191156,15
"8",8,2751,-78.6119543820257,35.790625076268,45.2237522614389,"Hispanic","M","75-100k",1,1,2,4,0,0.285234586247492,0.392156592674827,15
"9",9,3248,-78.6425180811724,35.7927759218945,42.1197774691995,"White","M","100-150k",1,1,3,1,1,0.256097490162616,0.0508127843503306,15
"10",10,3889,-78.6856713102551,35.7876801810896,38.4404263661533,"White","M",">150k",1,1,3,2,0,0.219458699219095,0.0809399318621278,15
"11",11,4735,-78.7040877155385,35.8000819471036,38.7117652712701,"White","F",">150k",1,1,3,3,1,0.197358855867794,0.212170721665644,15
"12",12,5007,-78.5113572695872,35.7363141501564,40.2268065071206,"White","F","100-150k",1,1,3,4,0,0.398894200200544,0.250480551834092,15
"13",13,5295,-78.6462430554812,35.7538334788154,37.6298322366674,"White","F","<25k",1,2,1,1,0,0.270514069657797,0.00659258193386736,20
"14",14,5364,-78.4226973122146,35.7654606902649,46.917732337927,"White","M","75-100k",1,2,1,2,0,0.472991479033046,0.00471041660810587,20
"15",15,5638,-78.5253152029563,35.7371303526419,29.4796060700473,"White","F","25-50k",1,2,1,3,0,0.385768442309349,0.08120290778671,20
"16",16,6041,-78.6949851294292,35.7375184789118,48.438383715637,"Black","F","50-75k",1,2,1,4,0,0.240333313217706,0.0503869122023132,20
"17",17,6445,-78.6355852739562,35.9070361670672,39.6786065745754,"White","M","50-75k",1,2,2,1,0,0.242942477946577,0.0980380116696536,20
"18",18,6486,-78.8198768223463,35.8072296547567,35.8441298823057,"White","F","50-75k",1,2,2,2,0,0.103797977468619,0.22555382373422,20
"19",19,6788,-78.6462297339949,35.7508476468646,37.1026786311132,"White","F",">150k",1,2,2,3,1,0.272075076282348,0.238013330736212,20
"20",20,6838,-78.5284000403906,35.6800919805335,48.5449794507347,"White","F","50-75k",1,2,2,4,1,0.409512519035739,0.202085010146567,20
"21",21,6949,-78.5512946020617,35.8180234410764,50.2951662592338,"White","F","75-100k",1,2,3,1,0,0.335356339987793,0.024085393695295,20
"22",22,7142,-78.5858221683728,35.7453085708028,50.6612269406569,"Black","F","25-50k",1,2,3,2,0,0.327563734087097,0.0358006121132022,20
"23",23,7763,-78.7952483077181,35.7584256249123,30.6671348576977,"Black","F","50-75k",1,2,3,3,1,0.158168700351183,0.489543600307178,20
"24",24,7832,-78.7117605859581,35.8128879711906,46.54750618119,"Black","M","50-75k",1,2,3,4,0,0.184713751671794,0.36687278760588,20
"25",25,8035,-78.6097235908435,35.8144390407908,44.770889122387,"Black","F","25-50k",1,3,1,1,0,0.279706706134718,0.0043822380241827,25
"26",26,8128,-78.6521922194017,35.785680453743,34.7731230211408,"Hispanic","M","25-50k",1,3,1,2,0,0.250190796760087,0.0173543738186934,25
"27",27,8138,-78.6406581219193,35.8352888382233,48.4150179146014,"Aisian/Other","F","75-100k",1,3,1,3,0,0.244416958900335,0.0148495193869807,25
"28",28,8318,-78.5844666475032,35.8478742191354,40.4833265930312,"White","F","<25k",1,3,1,4,0,0.297131545812521,0.0261270868365999,25
"29",29,8378,-78.5895771538225,35.9194545140434,34.0365542196858,"White","M",">150k",1,3,2,1,0,0.289750235006762,0.0512808114583509,25
"30",30,8517,-78.6418725795053,35.6829933988318,37.3613579458394,"White","F","25-50k",1,3,2,2,0,0.316194817669986,0.0788965520912761,25
"31",31,8531,-78.4980201674383,35.6824021381902,38.1807096827608,"Hispanic","F","25-50k",1,3,2,3,1,0.434619294567386,0.149401430944743,25
"32",32,8704,-78.6964826209349,35.7416875681437,46.51660745425,"Black","M","50-75k",1,3,2,4,1,0.236502874055277,0.260702336705404,25
"33",33,9572,-78.5898057303963,35.7349780608571,31.1706995419114,"White","M","75-100k",1,3,3,1,0,0.328855718265553,0.0749992837655353,25
"34",34,9909,-78.6695302219768,35.7922018879201,36.7720162540329,"White","M","100-150k",1,3,3,2,0,0.231737717822505,0.0672120106725982,25
"35",35,9910,-78.6134672257243,35.8189956652468,56.1331493200593,"Black","M","75-100k",1,3,3,3,0,0.274852262976495,0.0517208071468717,25
"36",36,10035,-78.6165954490894,35.7317049211123,76.458519771408,"Aisian/Other","F","<25k",1,3,3,4,0,0.307346068814106,0.00843192290487822,25
"37",37,10101,-78.6914785534672,35.7877731816487,38.589811813453,"White","M","75-100k",1,4,1,1,0,0.214338351449897,0.00639074767962128,30
"38",38,10584,-78.6077069304411,35.6759645277352,35.4950125103998,"White","M",">150k",1,4,1,2,0,0.3468339981938,0.00414154841412196,30
"39",39,11188,-78.5107601693873,35.6515652223124,35.1392039249944,"White","F","25-50k",1,4,1,3,0,0.439680526813754,0.0169390665268018,30
"40",40,11194,-78.6454396868658,35.8885318516674,34.9422661251815,"White","M","75-100k",1,4,1,4,0,0.232735938044701,0.0755809233363609,30
"41",41,11220,-78.6899951872347,35.7652170376032,50.2956839058002,"White","F","75-100k",1,4,2,1,0,0.227506026475361,0.0171255647602955,30
"42",42,11315,-78.7491501962848,35.8328419313335,48.1472875925965,"White","F","25-50k",1,4,2,2,0,0.142378533674572,0.0405983843883637,30
"43",43,11455,-78.5878511501261,35.8576793924888,32.7364672091254,"White","M","100-150k",1,4,2,3,0,0.292436771574947,0.189251063387457,30
"44",44,11509,-78.7023165563857,35.7546959306415,48.7551944641933,"White","M","25-50k",1,4,2,4,1,0.223779193170546,0.201438201834668,30
"45",45,11565,-78.5720719563612,35.7595782239358,38.2540747601495,"White","F","100-150k",1,4,3,1,0,0.333931541040127,0.0187383171414109,30
"46",46,12065,-78.6671287269766,35.8547568788566,26.7102875035039,"White","F","50-75k",1,4,3,2,0,0.214463985802289,0.111569186568163,30
"47",47,12174,-78.6968025902966,35.7130376166225,48.6348675215367,"Black","F","<25k",1,4,3,3,0,0.255570925592097,0.0310034689873913,30
"48",48,12731,-78.6177664232545,35.7841337410669,33.7422686370963,"White","F","100-150k",1,4,3,4,0,0.282261503897188,0.249639369153922,30
"49",49,12997,-78.6501418576368,35.7747656622145,41.8070110063738,"Aisian/Other","M","100-150k",2,1,1,1,0,0.227528332014688,0.0123118891933691,15
"50",50,13893,-78.6666948069472,35.8633188866065,45.3244121830369,"White","M","50-75k",2,1,1,2,0,0.239700951125819,0.0144641238427748,15
"51",51,14356,-78.5537421276506,35.8047604135764,27.127845530344,"White","F","75-100k",2,1,1,3,0,0.327403065920077,0.139373486100679,15
"52",52,14394,-78.6874574322372,35.8314047875866,61.1767000789007,"White","M","75-100k",2,1,1,4,0,0.206759022787376,0.0342335459269082,15
"53",53,14510,-78.6981599682931,35.7855225123681,36.1666182131387,"Aisian/Other","F","<25k",2,1,2,1,0,0.18200105616963,0.106723721531357,15
"54",54,14697,-78.6502334460717,35.8455641981715,30.6501383108775,"White","F","<25k",2,1,2,2,0,0.24652326321521,0.172199009289069,15
"55",55,15201,-78.5991091595603,35.7603300572537,39.8780999126064,"White","F","25-50k",2,1,2,3,1,0.277127231116914,0.386612380683553,15
"56",56,15539,-78.6485688174763,35.6809565215136,35.6726702087623,"White","M","75-100k",2,1,2,4,1,0.236511163672843,0.701820802766888,15
"57",57,15574,-78.5927513053647,35.7824347254023,37.4962684893322,"White","M","100-150k",2,1,3,1,0,0.28542778753093,0.089711405409832,15
"58",58,16220,-78.6583762897249,35.8221748468131,41.1809195458859,"White","F","75-100k",2,1,3,2,0,0.230364692946243,0.124026160792493,15
"59",59,16455,-78.664320810641,35.8199185925583,45.2619065360841,"Black","F","100-150k",2,1,3,3,0,0.224008778658789,0.201421869134894,15
"60",60,16662,-78.6594241189584,35.7711010213227,34.5691638173482,"White","F","75-100k",2,1,3,4,1,0.217874348047208,0.652166029728765,15
"61",61,17106,-78.5529252917686,35.7678088468466,46.4382706764453,"White","F","75-100k",2,2,1,1,0,0.323671492126459,0.00724566607021498,20
"62",62,17322,-78.6132468014796,35.7788127434418,33.0303915524661,"White","F","25-50k",2,2,1,2,0,0.26464046621955,0.0400032135102241,20
"63",63,17888,-78.6205870347128,35.7168394716594,32.2917934195983,"White","F","50-75k",2,2,1,3,1,0.256984907794414,0.108809561429786,20
"64",64,18677,-78.8929110812293,35.7791372314186,46.5099509861586,"White","M","50-75k",2,2,1,4,0,0.0370088554853409,0.166100318984175,20
"65",65,18773,-78.657642432149,35.6629809974538,34.4728312294139,"White","F","100-150k",2,2,2,1,0,0.2335944345371,0.14868828193119,20
"66",66,18992,-78.6712378424593,35.7444058976155,34.377326380111,"Black","M","50-75k",2,2,2,2,0,0.204650738827535,0.268364086571963,20
"67",67,19522,-78.4970642754722,35.8952749791563,38.8472988759286,"White","M","100-150k",2,2,2,3,1,0.407063701358038,0.255800591909936,20
"68",68,20793,-78.5926731135016,35.7753586786789,37.3130546510737,"White","F","25-50k",2,2,2,4,0,0.284695820330793,0.630897718672626,20
"69",69,20950,-78.6384470784904,35.7862556536875,58.4003013076444,"Hispanic","M",">150k",2,2,3,1,0,0.240774677041262,0.0155244044627908,20
"70",70,21198,-78.570930687164,35.7366376426104,45.5939235202647,"White","F","100-150k",2,2,3,2,0,0.305101718210793,0.0540260414248834,20
"71",71,21279,-78.5953675830261,35.8155211151946,43.6924468635575,"White","F","75-100k",2,2,3,3,0,0.2889317360726,0.240297178582011,20
